case_id,case_name,symbol,row_count,start_utc,end_utc,first_close,last_close,min_close,min_close_utc,min_low,min_low_utc,max_high,max_high_utc,nonzero_close_count,usable_hourly_proxy,first_close_below_0_99_utc,first_close_below_0_95_utc,first_close_below_0_90_utc,first_close_at_or_above_0_99_after_min_utc,context_claims
iron_finance_iron_2021,Iron Finance IRON depeg,IRON,145,2021-06-15T00:00:00Z,2021-06-21T00:00:00Z,0,0,0,2021-06-15T00:00:00Z,0,2021-06-15T00:00:00Z,0,2021-06-15T00:00:00Z,0,no,2021-06-15T00:00:00Z,2021-06-15T00:00:00Z,2021-06-15T00:00:00Z,,CLAIM_111
iron_finance_titan_2021,Iron Finance TITAN collapse,TITAN,145,2021-06-15T00:00:00Z,2021-06-21T00:00:00Z,0,0,0,2021-06-15T00:00:00Z,0,2021-06-15T00:00:00Z,0,2021-06-15T00:00:00Z,0,no,2021-06-15T00:00:00Z,2021-06-15T00:00:00Z,2021-06-15T00:00:00Z,,CLAIM_111
maker_dai_black_thursday_2020,MakerDAO Black Thursday DAI stress,DAI,145,2020-03-10T00:00:00Z,2020-03-16T00:00:00Z,1.009,1.03,1.005,2020-03-10T02:00:00Z,0.9208,2020-03-15T21:00:00Z,1.339,2020-03-12T10:00:00Z,145,yes,,,,2020-03-10T03:00:00Z,CLAIM_135; CLAIM_136; CLAIM_137
terra_ust_2022,Terra UST collapse,USTC,193,2022-05-07T00:00:00Z,2022-05-15T00:00:00Z,0.9994,0.1993,0.08716,2022-05-13T10:00:00Z,0.04375,2022-05-13T01:00:00Z,0.9997,2022-05-07T03:00:00Z,193,yes,2022-05-07T22:00:00Z,2022-05-09T18:00:00Z,2022-05-09T21:00:00Z,,CLAIM_107
usdc_svb_2023,USDC / Silicon Valley Bank depeg,USDC,121,2023-03-09T00:00:00Z,2023-03-14T00:00:00Z,1,0.9986,0.9022,2023-03-11T07:00:00Z,0.8774,2023-03-11T07:00:00Z,1.053,2023-03-09T20:00:00Z,121,yes,2023-03-11T03:00:00Z,2023-03-11T03:00:00Z,,2023-03-12T22:00:00Z,CLAIM_108; CLAIM_109
